per_gop,per_dem,per_third_party,County_with_State,Date,Series_Complete_Pop_Pct,Metro_status,PCTPOVALL_2021,MEDHHINC_2021,WA,BA,IA,AAPI,MEDIAN_AGE_TOT,through_hs,college_up,target
71.4,27.0,1.5,"Autauga County, AL",05/10/2023,46.1,1,10,66444,74.8,21.4,0.5,1.3,39.2,43.17,56.83,0
76.2,22.4,1.4,"Baldwin County, AL",05/10/2023,53.4,1,10,65658,87.4,8.4,0.8,1.2,44.1,36.36,63.64,0
53.5,45.8,0.8,"Barbour County, AL",05/10/2023,47.4,0,23,38649,49.2,47.7,0.7,0.7,41.5,61.01,38.99,0
78.4,20.7,0.9,"Bibb County, AL",05/10/2023,36.5,1,20,48454,76.5,21.0,0.6,0.4,40.9,63.38,36.62,0
89.6,9.6,0.9,"Blount County, AL",05/10/2023,32.9,1,12,56894,95.4,1.9,0.6,0.6,41.2,51.48,48.52,0
24.8,74.7,0.5,"Bullock County, AL",05/10/2023,56.8,0,32,32027,27.9,68.6,0.9,1.1,39.8,63.71,36.29,0
57.5,41.8,0.7,"Butler County, AL",05/10/2023,41.0,0,22,39442,52.0,44.6,0.5,1.6,42.2,59.64,40.36,0
68.8,29.8,1.3,"Calhoun County, AL",05/10/2023,49.0,1,19,48166,73.8,22.3,0.5,1.0,39.3,49.4,50.6,0
57.3,41.6,1.1,"Chambers County, AL",05/10/2023,33.2,0,19,45447,56.7,39.7,0.4,1.0,43.3,53.45,46.55,0
86.0,13.2,0.8,"Cherokee County, AL",05/10/2023,32.4,0,18,46365,92.8,4.0,0.8,0.5,47.9,57.11,42.89,0
83.3,15.9,0.8,"Chilton County, AL",05/10/2023,37.6,1,15,55142,87.1,10.2,0.6,0.6,39.7,61.18,38.82,0
57.6,41.9,0.5,"Choctaw County, AL",05/10/2023,68.7,0,23,40601,57.4,41.0,0.2,0.3,47.0,56.88,43.12,0
55.8,43.8,0.4,"Clarke County, AL",05/10/2023,52.5,0,19,45447,52.6,45.2,0.6,0.5,42.6,59.2,40.8,0
80.8,18.3,0.9,"Clay County, AL",05/10/2023,43.7,0,18,47036,83.0,13.9,0.6,0.3,44.3,55.24,44.76,0
89.7,9.3,0.9,"Cleburne County, AL",05/10/2023,29.6,0,15,49769,94.5,3.0,0.4,0.3,41.9,54.43,45.57,0
75.9,22.8,1.3,"Coffee County, AL",05/10/2023,49.0,0,15,55052,75.8,17.0,1.4,2.3,39.3,41.6,58.4,0
68.9,29.9,1.2,"Colbert County, AL",05/10/2023,49.6,1,16,53341,80.4,15.7,0.7,0.8,42.3,50.95,49.05,0
53.4,46.0,0.5,"Conecuh County, AL",05/10/2023,46.3,0,22,35621,51.1,45.3,0.7,0.4,46.2,60.9,39.1,0
66.3,32.8,0.9,"Coosa County, AL",05/10/2023,42.0,0,17,45954,68.2,28.9,0.8,0.4,50.6,56.67,43.33,0
83.7,15.6,0.7,"Covington County, AL",05/10/2023,39.2,0,19,44188,83.9,12.8,0.8,0.6,43.2,52.81,47.19,0
73.5,25.7,0.8,"Crenshaw County, AL",05/10/2023,35.7,0,17,38037,71.7,23.4,0.8,1.5,41.2,60.6,39.4,0
88.1,10.7,1.2,"Cullman County, AL",05/10/2023,39.3,0,13,55036,95.7,1.4,0.7,0.8,41.0,48.19,51.81,0
72.5,26.2,1.3,"Dale County, AL",05/10/2023,49.6,0,15,50086,72.8,21.6,0.9,1.5,38.0,46.03,53.97,0
30.9,68.5,0.6,"Dallas County, AL",05/10/2023,47.3,0,29,33159,27.3,70.8,0.3,0.6,41.3,52.33,47.67,0
84.4,14.6,1.0,"DeKalb County, AL",05/10/2023,35.3,0,19,45062,92.4,2.0,2.1,1.1,40.1,55.28,44.72,0
73.5,25.3,1.2,"Elmore County, AL",05/10/2023,48.4,1,12,63147,74.8,22.1,0.5,0.8,39.5,44.41,55.59,0
68.3,30.9,0.8,"Escambia County, AL",05/10/2023,38.0,0,23,40506,62.4,30.8,3.8,0.4,40.1,62.01,37.99,0
74.4,24.2,1.3,"Etowah County, AL",05/10/2023,42.5,1,17,46308,80.8,15.4,0.7,1.2,42.0,47.56,52.44,0
83.3,15.9,0.8,"Fayette County, AL",05/10/2023,36.2,0,19,46122,85.9,11.2,0.5,0.5,43.3,57.97,42.03,0
